Ticker,Current Weight (%),Target Weight (%),Current Value ($),Target Value ($),Rebalance Order ($),Execution Action
AAPL,40.0,11.86,40000.0,11862.77,-28137.23,SELL
CAT,0.0,11.14,0.0,11137.79,11137.79,BUY
HD,0.0,2.15,0.0,2147.16,2147.16,BUY
JNJ,0.0,15.67,0.0,15673.33,15673.33,BUY
JPM,0.0,12.58,0.0,12579.72,12579.72,BUY
KO,0.0,3.94,0.0,3935.56,3935.56,BUY
MSFT,20.0,10.05,20000.0,10052.22,-9947.78,SELL
NVDA,0.0,20.65,0.0,20647.65,20647.65,BUY
PG,0.0,0.0,0.0,0.0,0.0,HOLD
XOM,0.0,0.0,0.0,0.0,0.0,HOLD
^GSPC,0.0,0.0,0.0,0.0,0.0,HOLD
^VIX,0.0,11.96,0.0,11963.8,11963.8,BUY
